model,configuration,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,best_params,cv_accuracy_mean,cv_accuracy_std,cv_precision_macro_mean,cv_precision_macro_std,cv_recall_macro_mean,cv_recall_macro_std,cv_f1_macro_mean,cv_f1_macro_std
random_forest_default,default,0.6919191919191919,0.6918653848058882,0.6933333333333334,0.6892363322709324,{},0.6691526243650731,0.030901963544275393,0.6706208275728399,0.0379990025963012,0.67025,0.031096400291852233,0.6633750978687024,0.03342863517441315
random_forest_tuned,tuned,0.6818181818181818,0.683261138586216,0.6833333333333333,0.6794749334842214,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__n_estimators': 200}",0.6805692171248892,0.016630307379873147,0.6860335826024679,0.01850244413177866,0.6815833333333334,0.017307272074670452,0.676770491790285,0.016081840242543496
gradient_boosting_tuned,tuned,0.6464646464646465,0.6505522292128834,0.6472222222222223,0.646993154729967,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 200}",0.638797065226155,0.0128768788334025,0.6513494263734201,0.021011089731672657,0.6394166666666667,0.012825213881690629,0.6393656139613599,0.014588055777050324
gradient_boosting_default,default,0.6313131313131313,0.6476196871090543,0.6322222222222222,0.6324854663367387,{},0.6337337740869144,0.022095116190561766,0.6612244135945552,0.025201910001462595,0.6345,0.02276296944112912,0.6384346361675693,0.021383463618097533
logistic_regression_default,default,0.6111111111111112,0.6099466285348638,0.6127777777777779,0.606099791916023,{},0.6830847375634926,0.033869719747231825,0.6848007865887122,0.029815374934083,0.6840833333333333,0.03418129768032675,0.6790669141093322,0.033406125621935345
logistic_regression_tuned,tuned,0.6111111111111112,0.6099466285348638,0.6127777777777779,0.606099791916023,"{'model__C': 1.0, 'model__solver': 'lbfgs'}",0.6830847375634926,0.033869719747231825,0.6848007865887122,0.029815374934083,0.6840833333333333,0.03418129768032675,0.6790669141093322,0.033406125621935345
decision_tree_default,default,0.4494949494949495,0.45135689813843005,0.45055555555555554,0.4464135569761976,{},0.4309199387245021,0.021424249826598577,0.43353289074186907,0.020543906861252233,0.43174999999999997,0.021933295339379454,0.42688414776314765,0.0221599279006909
decision_tree_tuned,tuned,0.4444444444444444,0.4353988891860746,0.44722222222222224,0.43937392262051933,"{'model__max_depth': 10, 'model__min_samples_leaf': 1}",0.4385471256953963,0.0310825400406385,0.45588213362851854,0.02079864133560485,0.4394166666666667,0.03169472441204616,0.4398509718094231,0.024992252571833556
dummy_most_frequent_default,default,0.10101010101010101,0.0101010101010101,0.1,0.01834862385321101,{},0.10139482383294365,0.00025800209626703483,0.010139482383294365,2.5800209626703623e-05,0.1,0.0,0.018412065643478838,4.252209155537756e-05
