source,model,configuration,cv_accuracy_mean,cv_accuracy_std,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,best_params
assignment8_primary,svm_rbf_all_features,optimized,0.7275175360799806,0.012973903035177,0.7121212121212122,0.7161151541956495,0.7122222222222223,0.7120834450102744,"{'model__C': 3, 'model__gamma': 'scale'}"
assignment8_primary,svm_rbf_select_k_best,optimized,0.7275175360799806,0.012973903035177,0.7121212121212122,0.7161151541956495,0.7122222222222223,0.7120834450102744,"{'model__C': 3, 'model__gamma': 'scale', 'selector__k': 'all'}"
assignment7_baseline,random_forest_default,default,0.6691526243650731,0.0309019635442753,0.6919191919191919,0.6918653848058882,0.6933333333333334,0.6892363322709324,{}
assignment7_baseline,random_forest_tuned,tuned,0.6805692171248892,0.0166303073798731,0.6818181818181818,0.683261138586216,0.6833333333333333,0.6794749334842214,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__n_estimators': 200}"
assignment7_baseline,gradient_boosting_tuned,tuned,0.638797065226155,0.0128768788334025,0.6464646464646465,0.6505522292128834,0.6472222222222223,0.646993154729967,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 200}"
assignment7_baseline,gradient_boosting_default,default,0.6337337740869144,0.0220951161905617,0.6313131313131313,0.6476196871090543,0.6322222222222222,0.6324854663367387,{}
assignment7_baseline,logistic_regression_default,default,0.6830847375634926,0.0338697197472318,0.6111111111111112,0.6099466285348638,0.6127777777777779,0.606099791916023,{}
assignment7_baseline,logistic_regression_tuned,tuned,0.6830847375634926,0.0338697197472318,0.6111111111111112,0.6099466285348638,0.6127777777777779,0.606099791916023,"{'model__C': 1.0, 'model__solver': 'lbfgs'}"
assignment7_baseline,decision_tree_default,default,0.4309199387245021,0.0214242498265985,0.4494949494949495,0.45135689813843,0.4505555555555555,0.4464135569761976,{}
assignment7_baseline,decision_tree_tuned,tuned,0.4385471256953963,0.0310825400406385,0.4444444444444444,0.4353988891860746,0.4472222222222222,0.4393739226205193,"{'model__max_depth': 10, 'model__min_samples_leaf': 1}"
assignment7_baseline,dummy_most_frequent_default,default,0.1013948238329436,0.000258002096267,0.101010101010101,0.0101010101010101,0.1,0.018348623853211,{}
